ID	isValid
KNGAE0001	TRUE
KNGAE0002	TRUE
KNGAE0003	TRUE
KNGAE0004	TRUE
KNGAE0005	TRUE
KNGAE0006	TRUE
KNGAE0007	TRUE
KNGAE0008	TRUE
KNGAE0009	TRUE
KNGAE0010	TRUE
KNGAE0011	TRUE
KNGAE0012	TRUE
KNGAE0013	TRUE
KNGAE0014	TRUE
KNGAE0015	TRUE
KNGAE0016	TRUE
KNGAE0017	TRUE
KNGAE0019	TRUE
KNGAE0020	TRUE
KNGAE0021	TRUE
KNGAE0023	TRUE
KNGAE0024	TRUE
KNGAE0025	TRUE
KNGAE0027	TRUE
KNGAE0028	TRUE
KNGAE0029	TRUE
KNGAE0030	TRUE
KNGAE0031	TRUE
KNGAE0034	TRUE
KNGAE0036	TRUE
KNGAE0037	TRUE
KNGAE0039	TRUE
KNGAE0040	TRUE
KNGAE0043	TRUE
KNGAE0045	TRUE
KNGAE0046	TRUE
KNGAE0047	TRUE
KNGAE0048	TRUE
KNGAE0049	TRUE
KNGAE0050	TRUE
KNGAE0051	TRUE
KNGAE0052	TRUE
KNGAE0055	TRUE
KNGAE0056	TRUE
KNGAE0057	TRUE
KNGAE0061	TRUE
KNGAE0064	TRUE
KNGAE0065	TRUE
KNGAE0068	TRUE
KNGAE0069	TRUE
KNGAE0071	TRUE
KNGAE0072	TRUE
KNGAE0075	TRUE
KNGAE0076	TRUE
KNGAE0077	TRUE
KNGAE0080	TRUE
KNGAE0089	TRUE
KNGAE0090	TRUE
KNGAE0091	TRUE
KNGAE0093	TRUE
KNGAE0097	TRUE
KNGAE0099	TRUE
KNGAE0100	TRUE
KNGAE0109	TRUE
KNGAE0110	TRUE
KNGAE0111	TRUE
KNGAE0114	TRUE
KNGAE0115	TRUE
KNGAE0118	TRUE
KNGAE0122	TRUE
KNGAE0124	TRUE
KNGAE0127	TRUE
KNGAE0128	TRUE
KNGAE0130	TRUE
KNGAE0132	TRUE
KNGAE0133	TRUE
KNGAE0136	TRUE
KNGAE0137	TRUE
KNGAE0141	TRUE
KNGAE0142	TRUE
KNGAE0143	TRUE
KNGAE0146	TRUE
KNGAE0153	TRUE
KNGAE0154	TRUE
KNGAE0155	TRUE
KNGAE0156	TRUE
KNGAT0001	TRUE
KNGAT0002	TRUE
KNGAT0004	TRUE
KNGAT0007	TRUE
KNGAT0009	TRUE
KNGAT0011	TRUE
KNGAT0012	TRUE
KNGAT0015	TRUE
KNGAT0016	TRUE
KNGAT0018	TRUE
KNGAT0019	TRUE
KNGAT0020	TRUE
KNGAT0021	TRUE
KNGAT0025	TRUE
KNGAT0026	TRUE
KNGAT0027	TRUE
KNGAT0029	TRUE
KNGAT0030	TRUE
KNGAT0032	TRUE
KNGAT0033	TRUE
KNGAT0034	TRUE
KNGAT0035	TRUE
KNGAT0036	TRUE
KNGAT0037	TRUE
KNGAT0039	TRUE
KNGAT0040	TRUE
KNGAT0041	TRUE
KNGAT0042	TRUE
KNGAT0043	TRUE
KNGAT0044	TRUE
KNGAT0045	TRUE
KNGAT0046	TRUE
KNGAT0047	TRUE
KNGAT0049	TRUE
KNGAT0051	TRUE
KNGAT0052	TRUE
KNGAT0053	TRUE
KNGAT0056	TRUE
KNGAT0057	TRUE
KNGAT0060	TRUE
KNGAT0062	TRUE
KNGAT0063	TRUE
KNGAT0064	TRUE
KNGAT0067	TRUE
KNGAT0068	TRUE
KNGAT0069	TRUE
KNGAT0073	TRUE
KNGAT0075	TRUE
KNGAT0080	TRUE
KNGAT0085	TRUE
KNGAT0088	TRUE
KNGAT0092	TRUE
KNGAT0093	TRUE
KNGAT0094	TRUE
KNGAT0096	TRUE
KNGAT0097	TRUE
KNGAT0098	TRUE
KNGAT0100	TRUE
KNGAT0101	TRUE
KNGAT0105	TRUE
KNGAT0107	TRUE
KNGAT0109	TRUE
KNGAT0110	TRUE
KNGAT0113	TRUE
KNGAT0114	TRUE
KNGAT0116	TRUE
KNGAT0119	TRUE
KNGAT0120	TRUE
KNGAT0122	TRUE
KNGAT0124	TRUE
KNGAT0127	TRUE
KNGAT0128	TRUE
KNGAT0129	TRUE
KNGAT0132	TRUE
KNGAT0133	TRUE
KNGAT0138	TRUE
KNGAT0139	TRUE
KNGAT0140	TRUE
KNGAT0144	TRUE
KNGAT0145	TRUE
KNGAT0146	TRUE
KNGAT0149	TRUE
KNGAT0150	TRUE
KNGAT0154	TRUE
KNGAT0156	TRUE
KNGUT0002	TRUE
KNGUT0003	TRUE
KNGUT0005	TRUE
KNGUT0007	TRUE
KNGUT0008	TRUE
KNGUT0009	TRUE
KNGUT0011	TRUE
KNGUT0012	TRUE
KNGUT0013	TRUE
KNGUT0014	TRUE
KNGUT0015	TRUE
KNGUT0016	TRUE
KNGUT0017	TRUE
KNGUT0018	TRUE
KNGUT0019	TRUE
KNGUT0020	TRUE
KNGUT0023	TRUE
KNGUT0024	TRUE
KNGUT0025	TRUE
KNGUT0027	TRUE
KNGUT0028	TRUE
KNGUT0029	TRUE
KNGUT0030	TRUE
KNGUT0031	TRUE
KNGUT0032	TRUE
KNGUT0033	TRUE
KNGUT0035	TRUE
KNGUT0036	TRUE
KNGUT0038	TRUE
KNGUT0039	TRUE
KNGUT0040	TRUE
KNGUT0041	TRUE
KNGUT0043	TRUE
KNGUT0044	TRUE
KNGUT0045	TRUE
KNGUT0046	TRUE
KNGUT0047	TRUE
KNGUT0048	TRUE
KNGUT0050	TRUE
KNGUT0051	TRUE
KNGUT0052	TRUE
KNGUT0053	TRUE
KNGUT0054	TRUE
KNGUT0056	TRUE
KNGUT0057	TRUE
KNGUT0059	TRUE
